airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
EGTC,,Cranfield Airport,"Cranfield, Central Bedfordshire",GB,Matched,United Kingdom
EGTE,EXT,Exeter International Airport,"Exeter, Devon",GB,Matched,United Kingdom
EGTK,OXF,London Oxford Airport,"Kidlington, Oxfordshire",GB,Matched,United Kingdom
EGUB,BEX,RAF Benson,"Wallingford, Oxfordshire",GB,Matched,United Kingdom
EGUL,LKZ,RAF Lakenheath,"Brandon, Suffolk",GB,Matched,United Kingdom
EGUN,MHZ,RAF Mildenhall,"Bury Saint Edmunds, Suffolk",GB,Matched,United Kingdom
EGUW,,Wattisham Airfield,"Ipswich, Suffolk",GB,Matched,United Kingdom
EGVA,FFD,RAF Fairford,"Fairford, Gloucestershire",GB,Matched,United Kingdom
EGVN,BZZ,RAF Brize Norton,"Carterton, Oxfordshire",GB,Matched,United Kingdom
EGVO,ODH,RAF Odiham,"Hook, Hampshire",GB,Matched,United Kingdom
EGWC,,RAF Cosford,"Cosford, Shropshire",GB,Matched,United Kingdom
EGWU,NHT,RAF Northolt,"Northolt, Greater London",GB,Matched,United Kingdom
EGXC,QCY,RAF Coningsby,"Lincoln, Lincolnshire",GB,Matched,United Kingdom
EGXE,,RAF Leeming,"Northallerton, North Yorkshire",GB,Matched,United Kingdom
EGXG,,Leeds East Airport,"Tadcaster, North Yorkshire",GB,Matched,United Kingdom
EGXH,BEQ,RAF Honington,"Bury Saint Edmunds, Suffolk",GB,Matched,United Kingdom
EGXP,,,,,Unmatched,Unknown
EGXT,,RAF Wittering,"Peterborough, Cambridgeshire",GB,Matched,United Kingdom
EGXW,WTN,RAF Waddington,"Lincoln, Lincolnshire",GB,Matched,United Kingdom
EGXZ,,RAF Topcliffe,"Thirsk, North Yorkshire",GB,Matched,United Kingdom
EGYD,,RAF Cranwell,"Sleaford, Lincolnshire",GB,Matched,United Kingdom
EGYE,,RAF Barkston Heath,"Grantham, Lincolnshire",GB,Matched,United Kingdom
EGYM,KNF,RAF Marham,"King's Lynn, Norfolk",GB,Matched,United Kingdom
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,NL,Matched,Netherlands
EHBD,,Kempen Airport Budel,Weert,NL,Matched,Netherlands
EHBK,MST,Maastricht Aachen Airport,Maastricht,NL,Matched,Netherlands
EHDL,,Deelen Air Base,Arnhem,NL,Matched,Netherlands
EHEH,EIN,Eindhoven Airport,Eindhoven,NL,Matched,Netherlands
EHGG,GRQ,Groningen Airport Eelde,Groningen,NL,Matched,Netherlands
EHGR,GLZ,Gilze Rijen Air Base,Rijen,NL,Matched,Netherlands
EHKD,DHR,De Kooy Airfield / Den Helder Naval Air Station,Den Helder,NL,Matched,Netherlands
EHLE,LEY,Lelystad Airport,Lelystad,NL,Matched,Netherlands
EHLW,LWR,Leeuwarden Air Base,Leeuwarden,NL,Matched,Netherlands
EHRD,RTM,Rotterdam The Hague Airport,Rotterdam,NL,Matched,Netherlands
EHTW,ENS,Twente Airport,Enschede,NL,Matched,Netherlands
EHVK,UDE,Volkel Air Base,Uden,NL,Matched,Netherlands
EHWO,WOE,Woensdrecht Air Base,Hoogerheide,NL,Matched,Netherlands
EICK,ORK,Cork International Airport,Cork,IE,Matched,Ireland
EICM,,Galway Airport,Galway,IE,Matched,Ireland
EIDL,CFN,Donegal Airport,Donegal,IE,Matched,Ireland
EIDW,DUB,Dublin Airport,Dublin,IE,Matched,Ireland
EIKN,NOC,Ireland West Airport Knock,Charlestown,IE,Matched,Ireland
EIKY,KIR,Kerry Airport,Farranfore,IE,Matched,Ireland
EIME,,Casement Air Base,Baldonnel,IE,Matched,Ireland
EINN,SNN,Shannon Airport,Shannon,IE,Matched,Ireland
EISG,SXL,Sligo Airport,Sligo,IE,Matched,Ireland
EIWF,WAT,Waterford Airport,Waterford,IE,Matched,Ireland
EIWT,,Weston Airport,Leixlip,IE,Matched,Ireland
EKAH,AAR,Aarhus Airport,Aarhus,DK,Matched,Denmark
EKBI,BLL,Billund Airport,Billund,DK,Matched,Denmark
EKCH,CPH,Copenhagen Kastrup Airport,Copenhagen,DK,Matched,Denmark
EKEB,EBJ,Esbjerg Airport,Esbjerg,DK,Matched,Denmark
EKKA,KRP,Midtjyllands Airport / Air Base Karup,Karup,DK,Matched,Denmark
EKMB,MRW,Lolland Falster Maribo Airport,Rødby,DK,Matched,Denmark
EKOD,ODE,Odense Hans Christian Andersen Airport,Odense,DK,Matched,Denmark
EKRK,RKE,Copenhagen Roskilde Airport,Roskilde,DK,Matched,Denmark
EKRN,RNN,Bornholm Airport,Rønne,DK,Matched,Denmark
EKSB,SGD,Sønderborg Airport,Sønderborg,DK,Matched,Denmark
EKSN,CNL,Sindal Airport,Sindal,DK,Matched,Denmark
EKSP,SKS,Skrydstrup Air Base,Vojens,DK,Matched,Denmark
EKSV,SQW,Skive Airport,Skive,DK,Matched,Denmark
EKTS,TED,Thisted Airport,Thisted,DK,Matched,Denmark
EKVD,,Kolding Vamdrup Airfield,Kolding / Vamdrup,DK,Matched,Denmark
EKVJ,STA,Stauning Vestjylland  Airport,Skjern,DK,Matched,Denmark
EKYT,AAL,Aalborg Airport,Aalborg,DK,Matched,Denmark
ELLX,LUX,Luxembourg-Findel International Airport,Luxembourg,LU,Matched,Luxembourg
ENAL,AES,Ålesund Airport,Ålesund,NO,Matched,Norway
ENBN,BNN,"Brønnøysund Airport, Brønnøy",Brønnøy,NO,Matched,Norway
ENBO,BOO,Bodø Airport,Bodø,NO,Matched,Norway
ENBR,BGO,"Bergen Airport, Flesland",Bergen,NO,Matched,Norway
ENCN,KRS,Kristiansand Airport,Kristiansand(Kjevik),NO,Matched,Norway
ENDU,BDU,Bardufoss Airport,Målselv,NO,Matched,Norway
ENEV,EVE,Harstad/Narvik Airport,Evenes,NO,Matched,Norway
ENFG,,"Fagernes Airport, Leirin",Fagernes,NO,Matched,Norway
ENFL,FRO,Florø Airport,Florø,NO,Matched,Norway
ENGM,OSL,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,Matched,Norway
ENHD,HAU,"Haugesund Airport, Karmøy",Karmøy,NO,Matched,Norway
ENLK,LKN,Leknes Airport,Leknes,NO,Matched,Norway
ENMS,MJF,"Mosjøen Airport, Kjærstad",Mosjøen,NO,Matched,Norway
ENNO,NTB,Notodden Airport,Notodden,NO,Matched,Norway
ENOL,OLA,Ørland Airport,Ørland,NO,Matched,Norway
